NÍVEL DE ESCOLARIDADE,FAMÍLIA,Ocupações em geral,ACADEMIA DA SAÚDE,CENTRAL DE REGUALAÇÃO,CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS,CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF,CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA,CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS,CENTRO DE PARTO NORMAL,CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE,CENTRAL DE NOTIF. CAPTAÇÃO E DISTR. ÓRGÃOS ESTADUA,CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO,CONSULTORIO,COOPERATIVA,FARMACIA,HOSPITAL ESPECIALIZADO,HOSPITAL GERAL,HOSPITAL DIA,LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN,LABORATORIO DE SAUDE PUBLICA,POLICLINICA,OFICINA ORTOPEDICA,POSTO DE SAUDE,PRONTO ANTEDIMENTO,PRONTO SOCORRO ESPECIALIZADO,PRONTO SOCORRO GERAL,SECRETARIA DE SAUDE,SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE),UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA,UNIDADE DE ATENCAO EM REGIME RESIDENCIAL,UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA,UNIDADE DE VIGILANCIA EM SAUDE,UNIDADE MISTA,UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI,UNIDADE MOVEL FLUVIAL,UNIDADE MOVEL TERRESTRE,TELESAÚDE,Total
PESSOAL DE SAÚDE - NÍVEL SUPERIOR, OUTRAS OCUPAÇÕES DE NÍVEL SUPERIOR RELACIONADOS À SAÚDE,Terapeuta ocupacional,8,7,1,107,1,1733,-,1084,4,3089,517,5,-,749,1360,27,-,-,458,2,23,3,21,5,66,31,-,3,216,14,15,1,-,1,-,9551
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR,,,67,377,1486,128,3329,8365,110,113932,792,33427,3146,2428,1223,57199,422502,3415,306,1791,15272,27,10770,34673,4090,8863,9117,2972,2586,12,36550,4251,8774,26142,111,2695,5,820933
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, AUXILIAR DE ENFERMAGEM,,12,118,194,30,581,2501,46,40925,33,5985,644,488,129,15021,106045,819,17,94,4082,-,3379,6318,1183,2204,1460,133,121,1,2774,447,2556,1641,13,109,1,200104
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, AUXILIAR DE ENFERMAGEM,Auxiliar de Enfermagem,11,114,194,24,578,2478,46,20803,33,5919,613,488,127,14959,105670,819,17,93,4053,-,2153,6275,1182,2200,1376,132,121,1,2757,437,2485,1637,12,107,1,177915
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, AUXILIAR DE ENFERMAGEM,Auxiliar de Enfermagem do Trabalho,-,-,-,-,2,1,-,18,-,31,27,-,-,58,247,-,-,-,5,-,1,2,1,-,7,1,-,-,11,-,21,3,-,1,-,437
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, AUXILIAR DE ENFERMAGEM,Auxiliar de enfermagem da estratégia de saúde da família,1,4,-,6,1,22,-,20104,-,35,4,-,2,4,128,-,-,1,24,-,1225,41,-,4,77,-,-,-,6,10,50,1,1,1,-,21752
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, FISCAL SANITÁRIO,,-,11,1,2,1,4,-,857,3,63,1,-,3,1,32,-,1,7,33,-,44,6,-,3,4489,-,17,-,22,2845,11,-,-,-,-,8457
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, FISCAL SANITÁRIO,Visitador Sanitário,-,11,1,2,1,4,-,857,3,63,1,-,3,1,32,-,1,7,33,-,44,6,-,3,4489,-,17,-,22,2845,11,-,-,-,-,8457
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, TÉCNICO DE ENFERMAGEM,,46,227,1269,83,1147,5568,58,65927,621,18672,1382,1781,212,35841,274043,2046,17,145,8001,-,7192,23187,2382,5652,2394,2806,2274,10,6195,564,5411,24496,85,2390,3,502127
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, TÉCNICO DE ENFERMAGEM,Técnico de enfermagem,43,203,775,69,1117,5487,57,26734,576,18234,1115,1775,206,34923,270667,2030,17,137,7822,-,3608,22826,2313,5568,2144,2761,2274,10,6060,540,5231,10065,30,589,3,436009
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, TÉCNICO DE ENFERMAGEM,Técnico de enfermagem de saúde da família,3,4,2,14,-,20,-,38893,2,58,2,-,5,9,174,1,-,4,46,-,3556,51,-,10,106,-,-,-,7,14,85,15,52,11,-,43144
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, TÉCNICO DE ENFERMAGEM,Técnico de enfermagem de terapia intensiva,-,-,-,-,29,1,-,4,22,133,1,-,-,443,2341,1,-,-,8,-,-,8,4,3,-,1,-,-,67,2,-,2,-,22,-,3092
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, TÉCNICO DE ENFERMAGEM,Técnico de enfermagem do trabalho,-,-,-,-,1,-,-,36,21,176,223,2,1,28,352,10,-,4,72,-,5,39,3,1,13,2,-,-,38,7,9,1,-,1,-,1045
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, TÉCNICO DE ENFERMAGEM,Técnico de enfermagem psiquiátrica,-,-,-,-,-,57,-,2,-,21,-,-,-,434,140,1,-,-,1,-,-,-,-,1,1,-,-,-,2,-,4,-,-,-,-,664
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, TÉCNICO DE ENFERMAGEM,Socorrista (exceto médicos e enfermeiros) habilita,-,20,492,-,-,3,1,258,-,50,41,4,-,4,369,3,-,-,52,-,23,263,62,69,130,42,-,-,21,1,82,14413,3,1767,-,18173
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, TÉCNICO E AUXILIAR DE FARMÁCIA,,-,1,21,3,9,165,-,2279,3,244,7,3,833,1131,6158,126,1,11,251,-,20,606,31,122,120,23,2,-,103,4,42,3,-,-,-,12322
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, TÉCNICO E AUXILIAR DE FARMÁCIA,Auxiliar de Farmácia de Manipulação,-,1,1,2,-,21,-,291,2,59,4,-,466,436,2883,60,-,1,43,-,3,188,7,30,27,14,-,-,5,-,11,-,-,-,-,4555
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, TÉCNICO E AUXILIAR DE FARMÁCIA,Auxiliar de Produção Farmacêutica,-,-,2,1,-,-,-,20,-,10,-,-,9,31,241,2,-,2,5,-,-,11,1,1,3,-,-,-,5,-,2,-,-,-,-,346
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, TÉCNICO E AUXILIAR DE FARMÁCIA,Auxiliar técnico em laboratório de farmácia,-,-,5,-,7,13,-,41,-,26,2,-,34,234,667,9,1,3,15,-,1,61,1,10,7,6,1,-,63,2,5,-,-,-,-,1214
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, TÉCNICO E AUXILIAR DE FARMÁCIA,Mestre de produção farmacêutica,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, TÉCNICO E AUXILIAR DE FARMÁCIA,Técnico em Farmácia,-,-,13,-,2,131,-,1923,1,148,1,3,324,430,2362,55,-,1,188,-,16,346,22,81,79,3,1,-,28,2,22,3,-,-,-,6185
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, TÉCNICO E AUXILIAR DE FARMÁCIA,Técnico em Imunobiológicos,-,-,-,-,-,-,-,4,-,1,-,-,-,-,3,-,-,4,-,-,-,-,-,-,4,-,-,-,2,-,2,-,-,-,-,20
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, TÉCNICO E AUXILIAR DE LABORATÓRIO,,-,11,-,3,1343,6,6,1457,66,1607,131,10,39,2212,13250,107,267,1518,914,-,26,1156,174,92,232,7,46,-,20126,209,367,1,11,1,-,45395
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, TÉCNICO E AUXILIAR DE LABORATÓRIO,Auxiliar de Laboratório de Análises Clínicas,-,2,-,-,101,1,2,409,22,633,44,1,17,354,3076,56,58,359,214,-,10,349,18,23,75,6,12,-,8426,66,100,1,3,1,-,14439
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, TÉCNICO E AUXILIAR DE LABORATÓRIO,Auxiliar de laboratório de análises físico-química,-,-,-,-,-,-,-,1,-,5,1,-,4,11,39,-,1,14,-,-,-,-,-,-,3,-,-,-,74,6,-,-,-,-,-,159
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, TÉCNICO E AUXILIAR DE LABORATÓRIO,Auxiliar de Laboratório de Imunobiológicos,-,1,-,-,20,-,-,7,-,7,-,-,-,8,99,-,3,22,1,-,1,3,-,-,4,-,3,-,103,6,2,-,-,-,-,290
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, TÉCNICO E AUXILIAR DE LABORATÓRIO,Auxiliar Técnico em Patologia Clínica,-,-,-,1,205,2,3,437,9,202,20,-,5,190,1703,8,56,173,112,-,7,109,29,4,20,1,3,-,2996,33,56,-,2,-,-,6386
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, TÉCNICO E AUXILIAR DE LABORATÓRIO,Técnico de laboratório de análises físico-químicas,-,-,-,-,19,-,-,15,-,44,2,-,-,110,372,8,12,17,21,-,-,7,1,2,18,-,3,-,222,6,9,-,-,-,-,888
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, TÉCNICO E AUXILIAR DE LABORATÓRIO,Técnico em Laboratório de Farmácia,-,3,-,-,24,-,-,58,-,41,-,-,9,110,569,2,4,46,22,-,-,66,2,5,20,-,10,-,187,36,26,-,-,-,-,1240
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, TÉCNICO E AUXILIAR DE LABORATÓRIO,Técnico em patologia clínica,-,5,-,2,974,3,1,530,35,675,64,9,4,1429,7392,33,133,887,544,-,8,622,124,58,92,-,15,-,8118,56,174,-,6,-,-,21993
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, TÉCNICO E AUXILIAR EM NUTRIÇÃO E DIETÉTICA,,-,-,-,-,-,-,-,-,-,1,2,-,-,28,69,2,-,-,1,-,-,3,-,-,2,-,-,-,-,-,-,-,-,-,-,108
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, TÉCNICO E AUXILIAR EM NUTRIÇÃO E DIETÉTICA,Dietista,-,-,-,-,-,-,-,-,-,1,2,-,-,28,69,2,-,-,1,-,-,3,-,-,2,-,-,-,-,-,-,-,-,-,-,108
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, TÉCNICO E AUXILIAR EM FISIOTERAPIA E REABILITAÇÃO,,-,1,-,-,-,7,-,29,-,558,9,-,-,136,1805,6,-,-,133,20,2,276,46,128,1,-,-,-,16,-,9,-,-,14,-,3196
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, TÉCNICO E AUXILIAR EM FISIOTERAPIA E REABILITAÇÃO,Técnico de imobilização ortopédica,-,1,-,-,-,-,-,18,-,127,4,-,-,45,1435,4,-,-,86,1,1,229,44,112,1,-,-,-,4,-,7,-,-,-,-,2119
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, TÉCNICO E AUXILIAR EM FISIOTERAPIA E REABILITAÇÃO,Técnico de ortopedia,-,-,-,-,-,-,-,7,-,291,4,-,-,82,343,2,-,-,33,18,-,46,2,16,-,-,-,-,8,-,1,-,-,14,-,867
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, TÉCNICO E AUXILIAR EM FISIOTERAPIA E REABILITAÇÃO,Técnico em reabilitação,-,-,-,-,-,7,-,4,-,140,1,-,-,9,27,-,-,-,14,1,1,1,-,-,-,-,-,-,4,-,1,-,-,-,-,210
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, TÉCNICO E AUXILIAR EM SAÚDE ORAL,,-,3,-,1,5,1,-,1650,13,2216,542,1,1,71,402,17,1,4,305,6,79,138,2,9,76,1,55,-,1320,3,42,-,2,51,-,7017
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, TÉCNICO E AUXILIAR EM SAÚDE ORAL,Auxiliar de Prótese Dentária,-,-,-,-,-,-,-,24,3,201,89,-,-,2,18,-,-,1,12,1,2,1,-,-,1,-,1,-,244,-,-,-,-,-,-,600
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, TÉCNICO E AUXILIAR EM SAÚDE ORAL,Protético Dentário,-,1,-,1,-,-,-,163,3,597,193,-,-,11,32,5,1,3,59,5,6,1,-,2,1,1,-,-,1025,-,15,-,-,-,-,2125
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, TÉCNICO E AUXILIAR EM SAÚDE ORAL,Técnico em saúde bucal,-,2,-,-,5,1,-,1463,7,1418,260,1,1,58,352,12,-,-,234,-,71,136,2,7,74,-,54,-,51,3,27,-,2,51,-,4292
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, TÉCNICO E AUXILIAR EM VIG SANITÁRIA E AMBIENTAL,,-,-,-,2,-,-,-,50,-,1,-,-,-,-,6,-,-,-,-,-,-,-,-,-,89,-,1,-,-,43,-,-,-,-,-,192
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, TÉCNICO E AUXILIAR EM VIG SANITÁRIA E AMBIENTAL,Agente de defesa ambiental,-,-,-,2,-,-,-,50,-,1,-,-,-,-,6,-,-,-,-,-,-,-,-,-,89,-,1,-,-,43,-,-,-,-,-,192
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, TÉCNICO E AUXILIAR EM EQUIP MÉDICO-HOSPITALARES,,-,-,-,-,-,-,-,1,-,22,2,-,-,71,169,3,1,-,6,-,-,3,-,4,1,-,-,-,21,-,-,-,-,-,-,304
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, TÉCNICO E AUXILIAR EM EQUIP MÉDICO-HOSPITALARES,Técnico em equipamento médico hospitalar,-,-,-,-,-,-,-,1,-,22,2,-,-,71,169,3,1,-,6,-,-,3,-,4,1,-,-,-,21,-,-,-,-,-,-,304
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, TÉCNICO E AUXILIAR EM RADIOLOGIA MÉDICA,,-,-,-,4,1,-,-,637,52,3177,233,37,-,2101,18279,212,-,-,1336,1,15,2937,268,641,29,-,-,-,5190,6,316,-,-,122,1,35595
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, TÉCNICO E AUXILIAR EM RADIOLOGIA MÉDICA,Auxiliar de Radiologia (Revelação Fotográfica),-,-,-,-,-,-,-,3,-,68,7,-,-,43,458,4,-,-,28,-,-,60,11,17,4,-,-,-,82,1,5,-,-,-,-,791
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, TÉCNICO E AUXILIAR EM RADIOLOGIA MÉDICA,Técnico em radiologia e imagenologia,-,-,-,4,1,-,-,634,52,3109,226,37,-,2058,17821,208,-,-,1308,1,15,2877,257,624,25,-,-,-,5108,5,311,-,-,122,1,34804
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, TÉCNICO E AUXILIAR EM HEMATOLOGIA/HEMOTERAPIA,,-,-,-,-,234,-,-,-,-,20,4,-,-,24,311,-,-,-,4,-,-,13,-,-,-,-,-,-,355,-,2,-,-,-,-,967
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, TÉCNICO E AUXILIAR EM HEMATOLOGIA/HEMOTERAPIA,Auxiliar de banco de sangue,-,-,-,-,234,-,-,-,-,20,4,-,-,24,311,-,-,-,4,-,-,13,-,-,-,-,-,-,355,-,2,-,-,-,-,967
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, TÉCNICO E AUXILIAR EM HISTOLOGIA,,-,-,-,-,-,-,-,-,-,4,-,-,-,21,40,-,-,1,-,-,-,-,-,-,1,-,-,-,72,-,-,-,-,-,-,139
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, TÉCNICO E AUXILIAR EM HISTOLOGIA,Técnico em Histologia,-,-,-,-,-,-,-,-,-,4,-,-,-,21,40,-,-,1,-,-,-,-,-,-,1,-,-,-,72,-,-,-,-,-,-,139
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, OUTRAS OCUPAÇÕES NÍVEL TÉCNICO E AUXILIAR EM SAÚDE,,9,5,1,-,8,113,-,120,1,857,189,108,6,541,1893,77,1,11,206,-,13,30,4,8,223,2,70,1,356,130,18,1,-,8,-,5010
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, OUTRAS OCUPAÇÕES NÍVEL TÉCNICO E AUXILIAR EM SAÚDE,Técnico em acupuntura,-,-,-,-,-,-,-,6,1,36,54,-,-,-,5,-,-,-,12,-,-,-,-,-,1,-,-,-,3,-,-,-,-,-,-,118
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, OUTRAS OCUPAÇÕES NÍVEL TÉCNICO E AUXILIAR EM SAÚDE,Artista de Circo (Outros),-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, OUTRAS OCUPAÇÕES NÍVEL TÉCNICO E AUXILIAR EM SAÚDE,Auxiliar de Desenvolvimento Infantil,-,-,-,-,-,-,-,5,-,56,3,-,1,55,95,-,-,-,1,-,-,-,1,-,5,-,-,-,19,1,1,-,-,-,-,243
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, OUTRAS OCUPAÇÕES NÍVEL TÉCNICO E AUXILIAR EM SAÚDE,Auxiliar de Saúde Navegação Marítima,-,4,-,-,-,3,-,11,-,-,-,-,3,2,35,-,-,-,-,-,-,1,-,-,10,-,1,-,1,5,-,-,-,-,-,76
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, OUTRAS OCUPAÇÕES NÍVEL TÉCNICO E AUXILIAR EM SAÚDE,Auxiliar Geral de Conservação de Vias Per,-,-,1,-,1,8,-,57,-,43,5,1,-,82,189,16,-,-,13,-,7,4,-,-,14,1,-,-,13,9,14,1,-,2,-,481
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, OUTRAS OCUPAÇÕES NÍVEL TÉCNICO E AUXILIAR EM SAÚDE,Instrumentador Cirúrgico,-,-,-,-,1,-,-,1,-,32,11,107,-,162,891,29,-,-,3,-,-,-,2,4,-,-,-,-,9,-,-,-,-,-,-,1252
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, OUTRAS OCUPAÇÕES NÍVEL TÉCNICO E AUXILIAR EM SAÚDE,Instrutor de Cursos Livres,4,-,-,-,-,27,-,2,-,17,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,-,-,4,2,-,-,-,-,-,59
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, OUTRAS OCUPAÇÕES NÍVEL TÉCNICO E AUXILIAR EM SAÚDE,Mecanico de Manutenção de Automóveis Moto,-,1,-,-,-,-,-,4,-,1,-,-,1,-,3,-,-,-,-,-,1,1,-,-,4,-,-,-,-,-,-,-,-,-,-,16
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, OUTRAS OCUPAÇÕES NÍVEL TÉCNICO E AUXILIAR EM SAÚDE,Mecanico de Manutenção de Máquinas em Ger,-,-,-,-,-,-,-,-,-,2,-,-,-,10,111,-,-,-,10,-,-,9,1,-,3,-,-,-,1,-,-,-,-,-,-,147
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, OUTRAS OCUPAÇÕES NÍVEL TÉCNICO E AUXILIAR EM SAÚDE,Mecânico de manutenção e instalação de aparelhos de climatização e refrigeração,-,-,-,-,-,-,-,-,-,-,-,-,-,11,32,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, OUTRAS OCUPAÇÕES NÍVEL TÉCNICO E AUXILIAR EM SAÚDE,Ministro de Culto Religioso,-,-,-,-,-,-,-,-,-,6,-,-,-,3,31,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,42
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, OUTRAS OCUPAÇÕES NÍVEL TÉCNICO E AUXILIAR EM SAÚDE,Musico Intérprete Cantor,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,6
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, OUTRAS OCUPAÇÕES NÍVEL TÉCNICO E AUXILIAR EM SAÚDE,Musico Intérprete Instrumentista,-,-,-,-,-,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,5
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, OUTRAS OCUPAÇÕES NÍVEL TÉCNICO E AUXILIAR EM SAÚDE,Professor de Alunos Com Deficiência Menta,-,-,-,-,-,4,-,-,-,417,1,-,-,3,-,-,-,-,78,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,519
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, OUTRAS OCUPAÇÕES NÍVEL TÉCNICO E AUXILIAR EM SAÚDE,Professor de Nível Médio Na Educação Inf,-,-,-,-,-,-,-,3,-,3,-,-,-,1,17,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, OUTRAS OCUPAÇÕES NÍVEL TÉCNICO E AUXILIAR EM SAÚDE,Professor de Nível Médio No Ensino Profis,-,-,-,-,-,1,-,1,-,2,-,-,-,-,2,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,-,-,-,-,-,9
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, OUTRAS OCUPAÇÕES NÍVEL TÉCNICO E AUXILIAR EM SAÚDE,Quiropraxista Cinesoterapeuta Eutonista,1,-,-,-,-,-,-,-,-,4,12,-,-,-,3,-,-,-,1,-,-,-,-,-,-,-,-,-,12,-,-,-,-,1,-,34
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, OUTRAS OCUPAÇÕES NÍVEL TÉCNICO E AUXILIAR EM SAÚDE,Recreador,4,-,-,-,-,62,-,4,-,30,5,-,-,85,26,-,-,-,21,-,-,1,-,-,-,-,-,-,4,-,-,-,-,-,-,242
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, OUTRAS OCUPAÇÕES NÍVEL TÉCNICO E AUXILIAR EM SAÚDE,Técnico de Alimentos,-,-,-,-,-,-,-,2,-,3,-,-,-,5,87,-,-,4,-,-,-,-,-,-,14,-,-,-,4,26,-,-,-,-,-,145
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, OUTRAS OCUPAÇÕES NÍVEL TÉCNICO E AUXILIAR EM SAÚDE,Técnico de Desporto Individual e Coletivo,-,-,-,-,-,5,-,3,-,16,-,-,1,7,4,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,38
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, OUTRAS OCUPAÇÕES NÍVEL TÉCNICO E AUXILIAR EM SAÚDE,Técnico de Saneamento,-,-,-,-,2,-,-,7,-,7,-,-,-,-,7,-,1,4,1,-,2,1,-,-,157,-,69,-,-,81,1,-,-,-,-,340
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, OUTRAS OCUPAÇÕES NÍVEL TÉCNICO E AUXILIAR EM SAÚDE,Técnico em Laboratório Óptico,-,-,-,-,-,-,-,-,-,3,1,-,-,-,5,13,-,-,-,-,-,-,-,-,2,-,-,-,3,-,-,-,-,-,-,27
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, OUTRAS OCUPAÇÕES NÍVEL TÉCNICO E AUXILIAR EM SAÚDE,Técnico em Métodos Eletrográficos em Ence,-,-,-,-,-,-,-,5,-,80,12,-,-,48,84,13,-,-,30,-,-,-,-,2,-,-,-,-,153,-,1,-,-,-,-,428
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, OUTRAS OCUPAÇÕES NÍVEL TÉCNICO E AUXILIAR EM SAÚDE,Técnico em Métodos Gráficos em Cardiologia,-,-,-,-,-,-,-,3,-,54,5,-,-,44,152,-,-,-,19,-,-,1,-,1,-,-,-,-,28,-,1,-,-,3,-,311
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, OUTRAS OCUPAÇÕES NÍVEL TÉCNICO E AUXILIAR EM SAÚDE,Técnico em Óptica e Optometria Contatólog,-,-,-,-,-,-,-,3,-,40,79,-,-,16,47,5,-,-,6,-,-,-,-,-,1,1,-,-,10,-,-,-,-,2,-,210
PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR, OUTRAS OCUPAÇÕES NÍVEL TÉCNICO E AUXILIAR EM SAÚDE,Técnico Químico,-,-,-,-,4,-,-,2,-,5,-,-,-,7,67,-,-,3,8,-,-,12,-,-,8,-,-,-,69,6,-,-,-,-,-,191
PESSOAL DE SAÚDE - QUALIFICAÇÃO ELEMENTAR,,,2210,7260,4501,923,2195,17844,110,408514,396,48072,10864,569,5887,29969,190547,4502,319,1813,18909,20,33057,18991,1136,4765,93512,929,5371,195,29102,41067,5842,2772,488,1064,131,993846
